name,interface_number,shift_number,swap_number,material_lower,material_lower_primitive_cell,material_lower_percent,material_lower_bulk_n,material_lower_bulk_E_dft,material_lower_bulk_E_mlp,material_lower_termination_min_layer_loc,material_lower_termination_max_layer_loc,material_lower_termination_n_atoms,material_lower_miller_hkl,material_lower_miller_h,material_lower_miller_k,material_lower_miller_l,material_upper,material_upper_primitive_cell,material_upper_bulk_n,material_upper_bulk_E_dft,material_upper_bulk_E_mlp,material_upper_termination_min_layer_loc,material_upper_termination_max_layer_loc,material_upper_termination_n_atoms,material_upper_miller_hkl,material_upper_miller_h,material_upper_miller_k,material_upper_miller_l,material_shift_a,material_shift_b,material_shift_c,material_vector_mismatch_%,material_angle_mismatch_°,material_area_mismatch_%,interface_atoms_n,interface_electron_n,interface_E_dft@dft,interface_E_dft@mlp,interface_E_bulk_form_dft,interface_E_form_delta_dft@dft,interface_E_form_delta_dft@mlp,interface_compute_nodes_dft,interface_compute_time_seconds,interface_compute_time_per_electron_dft,interface_E_mlp@mlp,interface_E_mlp@dft,interface_E_bulk_form_mlp,interface_E_form_delta_mlp@mlp,interface_E_form_delta_mlp@dft,interface_compute_nodes_mlp,interface_compute_time_seconds_mlp,interface_compute_time_per_electron_mlp,mlp_n_times_faster,dft_mlp_rank_distance,fill_colour,is_shift,is_swap,is_valid,is_comparable_dft@dft_mlp@mlp,dft@dft_vs_mlp@mlp_rank_dft,dft@dft_vs_mlp@mlp_rank_mlp,dft@dft_vs_mlp@mlp_rank_distance,dft@dft_vs_mlp@mlp_line_colour,is_comparable_dft@dft_dft@mlp,dft@dft_vs_dft@mlp_rank_dft,dft@dft_vs_dft@mlp_rank_mlp,dft@dft_vs_dft@mlp_rank_distance,dft@dft_vs_dft@mlp_line_colour,is_comparable_mlp@dft_mlp@mlp,mlp@dft_vs_mlp@mlp_rank_dft,mlp@dft_vs_mlp@mlp_rank_mlp,mlp@dft_vs_mlp@mlp_rank_distance,mlp@dft_vs_mlp@mlp_line_colour,is_broken
156_Ge84Si72_001_112_a0.0_b0.0_c0.0_interface16shift1,16,1,1,Ge,False,5.128205128205128,8,-35.08485951,-38.831661,-0.03888,0.03888,14,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,12,112,1,1,2,0.0,0.0,0.0,4.008624554,0.380735219,3.269535303,156,624,243.99941848,11.084865,-4.855441260625,2.0620928118589745,,4,,9.698717948717949,,,,,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift2swap5,7,2,2,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
264_Sn108Si156_001_001_a0.07732_b0.082474_c2.1_interface2shift2swap4,2,2,2,Sn,False,3.0303030303030303,8,-29.90800429,-34.349418,-0.0339,0.0339,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,26,001,0,0,1,0.07732,0.082474,2.1,0.586363971,0.0,1.176154613,264,1056,-1123.01010561,,-4.531887809375,-3.9791662903787874,,4,,25.96212121212121,-1305.843533,,-4.9843964375,-4.644292386363636,,1,,3.1070075757575757,8.355989027735447,,"(0.4666666666666667, 0.058823529411764705, 0.9372549019607843)",True,True,True,True,65,102,37,"(0.3607843137254902, 0.6352941176470588, 0.0)",False,,,,,False,,,,,False
120_C84Si36_012_012_a0.185185_b0.179012_c1.680068_interface2shift2,2,2,2,C,False,6.666666666666667,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,0.185185,0.179012,1.680068,0.318931341,0.0,0.636857748,120,480,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
48_Si48_001_122_a0.0_b0.0_c0.0_interface12shift1,12,1,1,Si,False,16.666666666666664,8,-42.60220066,-45.400925,-0.04051,0.04051,6,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,2,122,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,48,192,-45.20122103,-103.590266,-5.3252750825,0.833399589375,-0.2664253333333333,4,,3.8958333333333335,-263.207056,,-5.675115625,-3.5917751250000003,,1,,2.5833333333333335,1.5080645161290323,,"(0.32941176470588235, 0.32941176470588235, 0.6666666666666666)",False,False,True,True,140,170,30,"(0.17647058823529413, 0.8235294117647058, 0.0)",True,63,63,0,"(0.0, 1.0, 0.0)",False,,,,,False
228_Ge108Si120_001_001_a0.745562_b0.272189_c2.0_interface2shift2,2,2,2,Ge,False,3.508771929824561,8,-35.08485951,-38.831661,-0.03888,0.03888,18,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.04051,0.04051,20,001,0,0,1,0.745562,0.272189,2.0,1.183802485,0.0,2.38161087,228,912,-1063.53051838,-1155.646833,-4.855441260625,-4.323874816710526,-4.6991852938596494,4,,14.12280701754386,-1186.1188,,-5.264536625,-4.832834271929825,,1,,2.74890350877193,5.137614678899083,,"(0.4627450980392157, 0.06666666666666667, 0.9294117647058824)",True,False,True,True,13,11,2,"(0.15294117647058825, 0.8431372549019608, 0.0)",True,13,15,2,"(0.13333333333333333, 0.8666666666666667, 0.0)",False,,,,,False
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift4swap2,7,4,4,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
300_C264Si36_011_012_a0.863248_b0.024096_c1.889863_interface16shift8,16,8,8,C,False,2.666666666666667,8,-69.80589084,-74.136955,-0.04167,0.04167,44,011,0,1,1,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,0.863248,0.024096,1.889863,2.657271385,0.0,0.022858381,300,1200,,,,,,4,,,,,,,,1,,,,,,True,False,False,False,,,,,False,,,,,False,,,,,
120_Ge48Si72_001_011_a0.898734_b0.138365_c2.1_interface7shift3swap6,7,3,3,Ge,False,6.666666666666667,8,-35.08485951,-38.831661,-0.03888,0.03888,8,001,0,0,1,Si,False,8,-42.60220066,-45.400925,-0.02864,0.02864,12,011,0,1,1,0.898734,0.138365,2.1,4.008624077,0.0,2.267128229,120,480,,,,,,4,,,,,,,,1,,,,,,True,True,False,False,,,,,False,,,,,False,,,,,
120_C84Si36_012_012_a0.0_b0.0_c0.0_interface12shift1,12,1,1,C,False,6.666666666666667,8,-69.80589084,-74.136955,0.29167,0.375,14,012,0,1,2,Si,False,8,-42.60220066,-45.400925,-0.04167,0.04167,6,012,0,1,2,0.0,0.0,0.0,0.318931341,6.83e-06,0.636857748,120,480,,,,,,4,,,-910.798812,,-7.4711175,-6.593841100000001,,1,,,,,,False,False,False,False,,,,,False,,,,,False,,,,,False
